,caseid,person_id,arrest_date,dispos_date,treat,re_arrest,prior_arrests,age
117,236,5776,2013-09-27,2014-09-02,0,0,5,30.0
118,7418,5776,2012-07-22,2013-05-01,1,0,3,29.0
119,61530,5776,2013-08-08,2013-11-13,0,1,4,30.0
120,237,18380,2013-05-01,2014-02-14,1,1,5,34.0
121,37584,18380,2013-07-26,2013-12-25,1,0,6,34.0
122,240,5004,2013-02-08,2013-07-28,1,0,4,37.0
123,18371,5004,2013-08-23,2013-12-07,1,0,5,38.0
124,243,8367,2013-09-01,2013-09-17,1,0,4,33.0
125,26416,8367,2012-10-20,2012-12-10,1,0,3,32.0
126,245,15490,2012-01-13,2013-04-22,1,1,3,20.0
127,8410,15490,2012-11-30,2013-02-11,1,0,4,21.0
128,248,14151,2012-07-09,2012-12-03,1,1,4,29.0
129,1568,14151,2012-11-01,2013-08-29,1,1,5,29.0
130,51870,14151,2013-04-09,2014-11-15,1,0,6,30.0
131,261,14077,2013-02-01,2013-04-22,1,0,2,19.0
132,263,15682,2013-06-30,2015-01-30,1,0,4,26.0
133,10493,15682,2013-01-31,2013-07-01,1,1,2,26.0
134,43505,15682,2013-02-01,2013-03-10,0,0,3,26.0
135,269,1124,2012-10-05,2013-03-03,0,0,11,60.0
136,8023,1124,2012-03-10,2012-10-26,1,1,9,59.0
137,14751,1124,2012-05-22,2012-06-29,1,0,10,59.0
138,48947,1124,2013-10-08,2013-12-11,0,0,12,61.0
139,279,4286,2012-03-30,2012-08-03,1,0,6,32.0
140,56833,4286,2013-04-26,2013-08-23,1,0,7,33.0
141,288,1579,2013-01-30,2013-11-18,0,0,1,24.0
142,306,12957,2013-06-11,2014-01-04,0,0,4,30.0
143,310,6374,2013-08-28,2013-11-21,1,0,3,26.0
144,71502,6374,2013-01-31,2013-09-18,1,1,2,25.0
145,316,2723,2013-10-01,2013-11-04,0,0,4,26.0
146,317,2031,2012-10-31,2013-10-01,0,0,5,39.0
147,322,6201,2013-08-27,2013-11-14,0,0,1,17.0
148,59182,6201,2013-01-09,2013-03-29,0,0,0,16.0
149,328,1428,2013-03-27,2013-05-08,1,0,2,35.0
150,330,4013,2012-10-07,2013-07-27,1,1,5,39.0
151,85562,4013,2013-05-11,2013-05-15,0,0,6,40.0
152,335,11374,2013-03-10,2015-06-25,1,0,5,32.0
153,28621,11374,2013-02-20,2014-07-26,0,1,4,32.0
154,336,9088,2013-04-29,2013-07-06,0,0,3,20.0
155,39742,9088,2012-11-14,2013-03-25,0,0,2,20.0
156,68136,9088,2013-07-23,2014-06-18,1,0,4,21.0
157,337,8852,2013-06-29,2013-10-16,1,0,9,41.0
158,33727,8852,2012-08-01,2012-10-24,1,0,8,40.0
159,72097,8852,2012-04-23,2014-01-09,1,1,7,40.0
160,338,3823,2013-09-10,2014-02-07,0,0,3,18.0
161,66354,3823,2013-07-22,2014-07-25,0,1,2,18.0
162,81067,3823,2013-04-08,2014-06-16,0,1,1,18.0
163,97582,3823,2012-05-17,2012-08-30,0,0,0,17.0
164,340,14234,2012-02-01,2013-03-11,1,1,4,41.0
165,1753,14234,2012-08-05,2012-11-12,1,1,5,42.0
166,77912,14234,2012-09-29,2013-03-15,0,0,6,42.0
167,342,9806,2012-12-12,2013-09-30,1,0,1,13.0
168,353,7652,2012-04-13,2012-12-23,1,1,5,29.0
169,71696,7652,2012-08-10,2013-06-18,1,0,6,29.0
170,355,11315,2012-02-24,2012-08-07,1,0,2,34.0
171,45909,11315,2013-03-07,2013-10-26,0,0,3,35.0
172,362,653,2013-07-16,2013-08-18,0,0,4,26.0
173,56679,653,2012-01-28,2012-05-16,0,0,3,25.0
174,363,6876,2013-02-16,2014-03-24,1,1,4,32.0
175,78039,6876,2013-06-04,2013-11-23,0,0,5,32.0
176,364,8041,2013-06-20,2014-01-07,1,1,3,21.0
177,15275,8041,2013-08-13,2013-08-18,0,0,4,21.0
178,369,6677,2012-12-12,2013-02-08,1,0,4,23.0
179,19779,6677,2012-10-14,2013-01-19,1,1,3,23.0
180,20995,6677,2012-04-15,2012-05-06,0,0,2,22.0
181,370,15123,2013-09-11,2013-09-27,1,0,4,33.0
182,376,676,2012-02-24,2012-05-01,1,1,6,41.0
183,14501,676,2012-10-06,2013-01-01,1,1,9,42.0
184,40330,676,2012-05-24,2013-02-07,1,1,8,41.0
185,69248,676,2012-12-26,2013-07-26,1,0,10,42.0
186,91436,676,2012-02-25,2013-03-07,1,1,7,41.0
187,380,3116,2013-07-31,2014-01-15,1,0,3,23.0
188,387,9047,2013-04-23,2013-06-22,1,0,4,27.0
189,29716,9047,2012-11-19,2013-01-16,0,0,3,27.0
190,390,12012,2013-06-06,2014-05-22,1,0,5,32.0
191,391,10601,2012-09-04,2012-10-25,1,0,3,34.0
192,392,12722,2013-03-20,2013-04-08,1,0,7,35.0
193,8193,12722,2012-03-13,2012-10-26,1,1,4,34.0
194,76490,12722,2012-10-20,2013-01-08,0,0,5,35.0
195,99004,12722,2013-01-18,2015-02-01,1,1,6,35.0
196,394,6997,2012-12-13,2014-02-20,0,0,1,23.0
197,401,11514,2012-09-22,2012-10-10,1,0,3,26.0
198,404,932,2013-09-20,2013-10-15,1,0,2,15.0
199,42109,932,2013-09-09,2014-07-08,0,1,1,15.0
200,76025,932,2013-05-16,2013-09-02,0,0,0,15.0
201,412,5782,2012-02-21,2012-04-14,0,0,5,32.0
202,413,19476,2012-05-06,2012-10-20,1,0,5,37.0
203,35982,19476,2013-03-14,2013-08-04,1,0,6,38.0
204,415,10586,2013-02-14,2013-06-03,0,0,3,27.0
205,34605,10586,2012-02-23,2012-03-07,0,0,1,26.0
206,62055,10586,2012-09-20,2012-11-19,1,0,2,27.0
207,418,16025,2013-10-19,2013-12-31,1,0,2,28.0
208,80769,16025,2012-08-08,2013-08-19,0,0,1,27.0
209,419,19839,2012-09-28,2012-12-10,1,0,2,31.0
210,421,18442,2012-12-23,2013-03-26,0,0,4,22.0
211,26199,18442,2013-08-08,2014-01-30,1,0,6,22.0
212,39498,18442,2013-04-03,2013-08-01,0,0,5,22.0
213,70884,18442,2012-02-15,2012-04-19,0,0,3,21.0
214,426,2677,2013-01-31,2014-03-14,0,0,4,35.0
215,430,14216,2012-05-20,2012-05-29,1,0,4,36.0
216,61886,14216,2012-07-02,2012-08-02,1,0,5,36.0
217,65788,14216,2013-02-15,2013-02-28,1,0,6,37.0
218,434,19092,2012-12-10,2013-04-22,1,0,2,26.0
219,30360,19092,2012-05-26,2012-08-17,1,0,1,25.0
220,437,17880,2013-03-27,2013-04-12,0,0,2,22.0
221,71031,17880,2012-10-15,2012-11-05,0,0,1,22.0
222,440,11699,2012-01-13,2012-12-06,0,1,4,25.0
223,47709,11699,2012-05-13,2012-07-26,1,0,5,25.0
224,75426,11699,2013-05-03,2013-10-01,1,0,6,26.0
225,443,2394,2013-08-18,2013-10-03,1,0,5,37.0
226,52243,2394,2013-07-26,2015-01-06,1,1,4,37.0
227,58587,2394,2012-07-14,2014-01-27,1,1,3,36.0
228,446,1173,2012-06-04,2012-09-20,0,0,2,33.0
229,450,17846,2013-09-10,2014-02-12,0,0,3,41.0
230,451,7971,2013-07-11,2013-10-09,0,0,4,35.0
231,455,16386,2013-06-14,2015-11-11,1,0,7,32.0
232,9961,16386,2012-02-16,2013-05-22,1,0,6,31.0
233,459,1813,2013-10-22,2014-05-29,1,0,2,32.0
234,38639,1813,2012-09-13,2012-10-31,1,0,1,31.0
235,461,5324,2012-05-26,2012-08-26,1,0,5,37.0
236,470,3970,2013-09-03,2013-12-21,1,0,3,36.0
237,89635,3970,2012-11-16,2013-02-06,1,0,2,35.0
238,472,12553,2013-08-17,2013-12-23,1,0,11,56.0
239,474,11501,2013-10-05,2014-01-21,1,0,8,41.0
240,68174,11501,2013-03-14,2013-04-09,0,0,7,40.0
241,487,12496,2013-04-09,2013-10-11,0,1,2,28.0
242,29555,12496,2012-11-11,2013-10-26,1,1,1,28.0
243,91643,12496,2013-07-07,2015-01-27,0,0,3,29.0
244,489,467,2012-02-04,2012-07-04,1,0,5,33.0
245,32288,467,2012-09-16,2013-05-06,1,0,6,34.0
246,490,9738,2013-04-21,2014-04-02,1,0,2,16.0
247,76088,9738,2012-02-28,2012-04-30,0,0,1,15.0
248,498,11392,2013-01-06,2013-01-18,0,0,2,34.0
249,94236,11392,2013-07-10,2013-09-30,1,0,3,35.0
250,501,16908,2013-04-07,2013-08-21,1,0,5,28.0
251,94141,16908,2012-05-20,2012-12-26,0,0,4,27.0
252,502,8548,2012-09-11,2012-11-08,1,0,3,33.0
253,32358,8548,2012-12-31,2013-01-06,1,0,4,33.0
254,69761,8548,2012-01-14,2012-03-06,0,0,2,32.0
255,506,7591,2012-02-17,2012-11-03,1,0,7,34.0
256,513,14956,2013-09-27,2014-12-19,1,0,10,52.0
257,39420,14956,2013-07-16,2014-04-29,1,1,9,52.0
258,92653,14956,2013-05-20,2014-07-31,1,1,8,52.0
259,524,14725,2013-01-19,2013-07-18,1,0,1,21.0
260,525,11616,2012-08-08,2012-09-16,1,0,2,29.0
261,535,17074,2013-07-28,2013-08-06,0,0,3,28.0
262,3599,17074,2012-10-30,2012-12-10,0,0,2,27.0
263,51541,17074,2012-01-27,2012-09-04,0,0,1,26.0
264,544,19734,2013-10-11,2015-02-02,1,0,3,42.0
265,545,13300,2012-06-10,2012-06-19,0,0,3,31.0
266,24196,13300,2013-06-16,2013-08-12,1,0,4,32.0
267,64088,13300,2013-10-04,2014-04-30,0,0,5,32.0
268,546,4905,2013-03-09,2014-01-18,1,0,2,30.0
269,40763,4905,2012-08-11,2012-09-10,0,0,1,29.0
270,549,2366,2013-02-19,2013-03-13,1,0,7,35.0
271,72034,2366,2012-12-19,2013-08-02,0,1,6,35.0
272,551,15768,2013-03-30,2013-09-09,0,0,3,36.0
273,86388,15768,2012-04-30,2012-08-08,1,0,2,35.0
274,558,3027,2013-06-02,2014-09-28,0,0,2,31.0
275,87736,3027,2012-07-31,2013-04-01,0,0,1,30.0
276,563,19010,2012-05-11,2012-10-23,0,0,1,25.0
277,22206,19010,2013-08-14,2014-01-14,0,0,2,26.0
278,565,5202,2012-05-07,2014-04-04,1,1,6,26.0
279,13575,5202,2012-03-31,2012-09-18,1,1,4,26.0
280,19440,5202,2012-10-07,2012-10-20,1,0,7,27.0
281,98416,5202,2012-04-10,2012-07-08,1,1,5,26.0
282,568,9473,2013-08-28,2013-09-10,0,0,7,33.0
283,53015,9473,2013-05-19,2014-08-27,1,1,5,33.0
284,86398,9473,2012-06-30,2015-05-31,1,1,3,32.0
285,95003,9473,2012-09-19,2012-11-22,1,0,4,32.0
286,95101,9473,2013-06-11,2014-02-23,1,1,6,33.0
287,576,16913,2012-11-18,2013-03-29,0,0,4,30.0
288,83229,16913,2012-07-07,2013-02-10,0,1,3,30.0
289,577,4629,2012-02-04,2013-06-02,0,1,2,23.0
290,45122,4629,2013-04-15,2014-03-08,0,0,5,24.0
291,49396,4629,2012-05-29,2013-02-19,0,1,3,23.0
292,57583,4629,2012-07-06,2012-12-02,1,0,4,23.0
293,578,513,2012-01-26,2012-04-11,0,1,5,34.0
294,21184,513,2012-01-30,2012-06-29,1,0,6,34.0
295,581,16279,2013-10-08,2014-08-13,1,0,5,24.0
296,68115,16279,2012-10-23,2013-05-06,1,0,4,23.0
297,99768,16279,2012-01-12,2012-07-09,1,0,3,22.0
298,582,18289,2012-12-10,2013-01-21,0,0,1,20.0
299,584,10241,2012-08-26,2013-08-05,1,0,3,19.0
300,586,19049,2013-03-12,2013-05-27,0,0,2,25.0
301,588,569,2012-08-06,2012-09-20,0,0,3,39.0
302,36740,569,2012-11-18,2013-03-16,1,1,4,39.0
303,70440,569,2012-12-13,2014-01-20,0,0,5,39.0
304,591,18157,2012-04-03,2013-12-14,1,1,8,46.0
305,11596,18157,2013-08-14,2013-08-25,0,0,9,47.0
306,592,4257,2012-07-04,2012-07-16,1,0,7,38.0
307,22583,4257,2012-08-05,2013-07-27,1,0,8,38.0
308,81998,4257,2012-05-10,2012-08-04,1,1,6,38.0
309,595,9390,2012-12-17,2013-05-04,1,0,4,27.0
310,76526,9390,2012-11-11,2013-07-18,0,1,3,27.0
311,604,11999,2012-09-13,2012-11-06,1,0,4,38.0
312,609,5517,2012-10-03,2014-11-06,1,0,2,30.0
313,615,11404,2013-02-16,2013-07-31,0,0,5,42.0
314,56233,11404,2012-10-28,2013-03-29,1,1,4,42.0
315,616,167,2013-01-29,2013-04-08,0,0,0,18.0
316,87924,167,2013-07-24,2014-07-17,0,0,1,18.0
317,617,2810,2012-01-07,2012-06-03,0,0,2,28.0
318,36186,2810,2013-08-02,2015-01-01,1,0,5,30.0
319,45069,2810,2012-09-07,2014-03-10,1,1,3,29.0
320,58047,2810,2013-05-26,2013-08-20,0,1,4,29.0
321,623,1045,2012-09-24,2013-01-22,0,0,4,43.0
322,93088,1045,2013-02-18,2013-02-28,0,0,5,43.0
323,626,5502,2012-10-01,2012-11-14,0,0,2,35.0
324,4926,5502,2012-04-15,2012-10-03,0,1,1,35.0
325,5691,5502,2013-03-27,2013-10-30,1,1,3,36.0
326,57238,5502,2013-05-07,2013-06-05,1,0,4,36.0
327,628,1727,2012-01-22,2013-06-09,1,0,3,23.0
328,630,1324,2012-12-02,2013-01-23,1,0,5,30.0
329,44993,1324,2013-10-28,2013-11-21,0,0,6,31.0
330,93534,1324,2012-09-16,2013-06-25,1,1,4,30.0
331,635,9673,2013-01-15,2013-04-23,1,0,2,24.0
332,42985,9673,2013-10-09,2014-05-07,1,0,3,25.0
333,49001,9673,2012-09-02,2012-12-22,1,0,1,24.0
334,637,6275,2013-04-19,2013-10-14,1,1,3,24.0
335,90771,6275,2012-02-24,2012-04-18,1,0,2,23.0
336,99555,6275,2013-09-13,2013-10-03,1,0,4,25.0
337,641,1077,2012-10-17,2013-07-02,1,1,4,31.0
338,21565,1077,2013-06-17,2013-11-10,1,0,5,32.0
339,41660,1077,2012-08-20,2013-06-26,0,1,3,31.0
340,642,11707,2012-08-14,2012-11-29,1,1,6,39.0
341,43027,11707,2013-03-01,2013-09-12,1,0,8,40.0
342,52199,11707,2012-08-24,2013-04-28,1,1,7,39.0
343,646,273,2013-03-25,2013-07-26,0,0,3,25.0
344,49475,273,2013-09-20,2013-11-22,1,0,4,25.0
345,80109,273,2012-04-03,2012-05-01,1,0,2,24.0
346,652,7793,2012-06-16,2013-08-04,1,0,4,29.0
347,655,104,2013-08-21,2014-01-24,0,0,2,29.0
348,6702,104,2012-11-10,2012-12-30,1,0,1,28.0
349,660,8995,2013-10-26,2014-04-20,0,0,1,28.0
350,662,17090,2012-11-21,2013-03-07,1,0,6,42.0
351,8739,17090,2012-04-23,2012-08-28,1,0,5,41.0
352,48422,17090,2013-08-10,2013-09-21,1,0,7,42.0
353,665,15509,2012-05-19,2012-08-30,1,0,7,43.0
354,13799,15509,2012-05-06,2014-07-31,1,1,6,43.0
355,668,11416,2012-11-18,2015-05-21,1,0,3,23.0
356,36984,11416,2012-10-07,2015-06-16,0,1,2,23.0
357,669,5223,2013-08-29,2013-10-04,0,0,4,31.0
358,671,10093,2012-04-27,2012-05-14,1,0,2,32.0
359,675,2171,2013-10-08,2014-02-10,0,0,3,31.0
360,37708,2171,2013-06-26,2015-01-06,1,1,2,30.0
361,62778,2171,2013-02-19,2013-05-06,1,0,1,30.0
362,679,2064,2012-04-23,2012-05-03,1,0,3,30.0
363,23751,2064,2013-10-11,2015-04-07,0,0,5,31.0
364,74497,2064,2013-01-10,2013-07-06,1,0,4,31.0
365,681,4392,2013-02-14,2013-09-23,1,0,3,34.0
366,682,592,2012-11-16,2013-05-11,1,1,3,23.0
367,21512,592,2012-05-07,2012-12-12,1,1,2,22.0
368,24367,592,2012-12-01,2013-06-01,0,0,4,23.0
369,34788,592,2012-04-07,2013-01-16,0,1,1,22.0
370,685,15977,2013-05-21,2013-07-23,0,0,3,28.0
371,67397,15977,2013-02-14,2014-02-09,0,1,2,28.0
372,686,7381,2012-02-28,2012-07-12,0,1,4,19.0
373,3132,7381,2012-06-02,2012-06-13,0,0,5,19.0
374,46594,7381,2013-07-23,2015-01-03,1,0,6,20.0
375,687,9939,2012-11-09,2013-01-22,1,1,2,24.0
376,18773,9939,2012-09-25,2012-09-28,1,0,1,24.0
377,42750,9939,2012-12-04,2014-07-30,0,1,3,24.0
378,85603,9939,2013-09-02,2014-03-24,1,0,4,25.0
379,688,868,2013-02-15,2014-07-30,0,0,2,32.0
380,689,16089,2013-05-01,2013-07-03,0,0,3,30.0
381,690,19008,2012-12-13,2013-02-22,0,0,2,29.0
382,691,8155,2013-04-17,2013-08-31,0,0,0,21.0
383,692,19005,2013-07-25,2014-02-07,0,1,3,29.0
384,44884,19005,2013-06-29,2014-01-15,0,1,2,29.0
385,99430,19005,2013-08-07,2013-09-08,1,0,4,29.0
386,694,11215,2012-04-08,2012-08-31,1,0,5,37.0
387,38807,11215,2013-02-02,2013-02-18,1,0,6,38.0
388,695,18600,2013-01-25,2013-07-07,1,0,4,37.0
389,698,8245,2012-01-02,2012-01-23,1,0,5,47.0
390,703,14425,2012-09-20,2013-03-05,0,1,4,32.0
391,49978,14425,2012-06-30,2013-08-30,0,1,3,32.0
392,62837,14425,2013-05-25,2015-03-21,0,0,6,33.0
393,99657,14425,2012-12-06,2013-10-25,0,1,5,32.0
394,704,959,2012-02-01,2012-11-29,1,0,6,26.0
395,30477,959,2012-01-17,2012-05-08,0,1,5,26.0
396,706,5913,2012-02-12,2012-05-08,0,0,1,16.0
397,69269,5913,2013-05-02,2013-09-14,1,0,2,17.0
398,712,12538,2012-09-20,2012-11-25,1,0,7,36.0
399,16295,12538,2012-06-17,2012-12-22,1,1,6,36.0
400,728,14110,2012-11-26,2012-12-19,0,0,2,18.0
401,76017,14110,2013-01-24,2013-04-18,0,0,3,18.0
402,732,6729,2012-05-16,2013-06-02,1,1,4,31.0
403,39346,6729,2013-10-19,2014-09-03,0,0,6,32.0
404,78288,6729,2012-09-24,2013-07-05,1,0,5,31.0
405,733,11880,2013-07-27,2013-08-22,0,0,2,33.0
406,737,4281,2013-08-19,2013-09-20,0,0,3,31.0
407,67918,4281,2012-11-30,2013-02-11,1,0,2,30.0
408,741,19657,2012-08-01,2014-09-20,0,1,5,25.0
409,38614,19657,2012-04-20,2012-07-03,1,0,4,25.0
410,86681,19657,2012-08-24,2012-10-18,0,0,6,25.0
411,749,18964,2012-09-27,2013-11-17,1,1,7,39.0
412,16539,18964,2012-10-29,2012-11-09,1,0,8,39.0
413,33351,18964,2013-06-04,2013-07-29,0,0,9,40.0
414,756,18124,2013-01-05,2013-04-01,0,0,3,26.0
415,16220,18124,2012-08-04,2012-09-03,0,0,2,26.0
416,759,18782,2013-08-11,2013-11-17,1,0,4,22.0
417,59117,18782,2012-01-07,2013-06-27,0,1,2,20.0
418,78698,18782,2013-01-31,2013-04-27,1,0,3,21.0
419,762,13910,2013-05-29,2013-10-18,1,0,3,22.0
420,74606,13910,2012-12-19,2013-03-10,0,0,2,22.0
421,89571,13910,2012-05-07,2012-09-17,1,0,1,21.0
422,770,14888,2013-09-21,2013-12-24,1,0,5,25.0
423,81617,14888,2013-03-27,2014-11-02,1,1,4,25.0
424,772,3691,2013-08-29,2013-11-18,0,0,3,27.0
425,60924,3691,2012-09-04,2013-05-27,0,0,2,26.0
426,773,4185,2012-07-29,2014-01-26,1,0,5,29.0
427,60306,4185,2012-03-20,2012-04-13,1,0,4,29.0
428,775,19143,2012-05-20,2013-04-20,0,0,3,31.0
429,778,15963,2012-04-14,2012-08-06,1,1,5,41.0
430,54952,15963,2013-04-12,2013-06-04,1,0,7,42.0
431,89941,15963,2012-06-23,2012-09-14,0,0,6,41.0
432,779,2040,2012-09-21,2013-02-06,0,0,3,37.0
433,785,17856,2013-01-02,2013-11-05,1,1,6,43.0
434,36078,17856,2013-01-07,2014-04-03,0,0,7,43.0
435,788,5860,2013-06-22,2013-10-08,1,0,5,32.0
436,51905,5860,2013-01-29,2013-03-15,1,0,4,32.0
437,790,19494,2013-04-07,2013-06-21,1,0,7,30.0
438,5925,19494,2012-02-14,2012-04-20,1,0,4,29.0
439,10507,19494,2012-07-05,2013-02-25,1,0,6,29.0
440,63885,19494,2012-05-23,2012-06-12,0,0,5,29.0
441,792,14199,2012-02-08,2015-04-22,0,0,1,16.0
